Id,Label
1927505,ANNOUNCER
1932371,ATTENDANT
1930623,BARNES
1928649,BEBE
1933518,CHANT
1928646,CLAIRE
1929976,CLIFFORD
1929810,CLURMAN
1930680,CONNIE
1930895,COP
1929153,DICK
1930581,DIRECTOR
1933591,DOCTOR
1933190,DOYLE
1934325,DR HARLINGTON
1928113,DRAMA TEACHER
1934477,EDWARDS
1927391,ERNEST
1932798,FBI MAN
1928778,FIRE CHIEF
1928539,FIRST REPORTER
1927304,FRANCES
1928130,GIRL #1
1928133,GIRL #2
1927576,HARRY
1927736,HILLIER
1933954,HITCHHIKER
1931481,JUDGE
1929270,JUDGE HILLIER'S WIFE
1927465,KAMINSKI
1930087,LAWYER
1927530,LILLIAN
1927567,MAN
1928813,MAN #1
1932011,MATRON
1928022,NEIGHBOR
1932029,NURSE
1932073,NURSE WITH HYPO
1929835,ODETS
1934255,OLDER NURSE
1928028,OMITTED
1932303,ORDERLY
1928608,PHOTOGRAPHER
1927315,PROLOGUE
1928613,PUBLICIST
1929163,REPORTER
1928445,REPORTER #1
1928452,REPORTER #2
1931148,SAILOR
1931414,SERGEANT
1934221,SOLDIER #1
1934225,SOLDIER #2
1928578,STAGE
1929203,STUDIO EXECUTIVE
1927756,STYLES
1931792,SYMINGTON
1928480,TALL SPECTRAL MAN
1934312,THE HALL
1934442,THIRD REPORTER
1931291,TORA
1930981,VIEW
1928995,WARDROBE MISTRESS
1927444,WOMAN
1933668,WOMEN IN WARD
1927469,YORK & CROWD
1930160,YOUNG MAN
1934260,YOUNG NURSE
1930750,YOUNG REPORTER
