Source,Target,Weight
4319886,4314859,2.0
4320139,4319864,1.0
4318520,4316673,1.0
4319277,4315824,1.0
4319277,4315813,1.0
4315232,4314859,1.0
4319900,4314859,2.0
4316180,4314859,3.0
4316180,4315523,2.0
4316180,4315473,2.0
4317375,4314859,4.0
4315084,4315156,1.0
4315084,4315077,2.0
4315084,4317093,1.0
4314859,4318520,1.0
4314859,4315084,1.0
4314859,4315824,1.0
4314859,4316435,1.0
4314859,4318517,1.0
4314859,4315057,2.0
4314859,4316673,3.0
4314859,4320928,1.0
4314859,4319864,2.0
4314859,4318960,1.0
4314859,4315710,1.0
4315824,4315813,3.0
4316563,4314859,1.0
4315523,4314859,9.0
4315523,4315156,1.0
4315523,4316435,1.0
4315523,4315473,8.0
4315156,4315232,1.0
4315156,4314859,8.0
4315156,4317093,2.0
4315077,4314859,3.0
4315077,4315156,3.0
4315077,4317093,2.0
4318517,4318520,1.0
4318517,4316673,1.0
4315057,4315084,1.0
4315057,4315077,1.0
4315057,4315060,1.0
4315057,4318960,1.0
4317093,4314859,1.0
4316698,4314859,1.0
4316673,4316698,1.0
4320928,4317375,1.0
4315473,4314859,10.0
4315473,4316435,1.0
4315060,4315084,1.0
4315060,4314859,1.0
4315060,4315077,1.0
4319864,4319886,1.0
4319864,4315156,1.0
4319864,4315473,1.0
