ID,Title,IMDB_id,ReleaseDate,Characters,Edges
1,10 Things I Hate About You,tt0147800,1999,21,68
2,12,tt0488478,2007,33,61
3,Twelve and Holding,tt0417385,2005,25,47
5,127 Hours,tt1542344,2010,9,10
6,1492: Conquest of Paradise,tt0103594,1992,34,86
7,15 Minutes,tt0179626,2001,45,141
8,17 Again,tt0974661,2009,36,128
9,One Eight Seven,tt0118531,1997,33,68
10,2001: A Space Odyssey,tt0062622,1968,27,102
11,2012,tt1190080,2009,66,211
13,44 Inch Chest,tt0914837,2009,11,23
14,48 Hrs.,tt0083511,1982,42,124
15,(500) Days of Summer,tt1022603,2009,20,54
17,8MM,tt0134273,1999,22,38
19,A Few Good Men,tt0104257,1992,29,76
21,Above the Law,tt0094602,1988,39,95
22,Absolute Power,tt0118548,1997,27,46
23,The Abyss,tt0096754,1989,28,108
24,Ace Ventura: Pet Detective,tt0109040,1994,53,148
25,Adaptation.,tt0268126,2002,30,44
26,The Addams Family,tt0101272,1991,13,44
27,The Adventures of Buckaroo Banzai Across the 8th Dimension,tt0086856,1984,52,206
28,Affliction,tt0118564,1997,24,57
30,After Life,tt0838247,2009,35,91
31,Agnes of God,tt0088683,1985,21,102
32,Air Force One,tt0118571,1997,52,150
33,Airplane!,tt0080339,1980,25,62
34,Airplane II: The Sequel,tt0083530,1982,95,378
36,Ali,tt0248667,2001,75,249
38,Alien 3,tt0103644,1992,25,77
39,Alien Nation,tt0094631,1988,30,82
40,AVP: Alien vs. Predator,tt0370263,2004,24,76
41,Alien: Resurrection,tt0118583,1997,27,141
42,Aliens,tt0090605,1986,24,106
43,All About Eve,tt0042192,1950,19,79
44,All About Steve,tt0881891,2009,44,110
45,All the King's Men,tt0041113,1949,37,145
47,Almost Famous,tt0181875,2000,53,206
48,Alone in the Dark,tt0369226,2005,27,71
49,Amadeus,tt0086879,1984,43,152
50,Amelia,tt0211915,2001,26,54
51,American Beauty,tt0169547,1999,22,46
52,American Gangster,tt0765429,2007,59,119
54,American History X,tt0120586,1998,39,114
57,American Pie,tt0163651,1999,33,106
58,The American President,tt0112346,1995,49,163
59,American Psycho,tt0144084,2000,26,59
60,American Shaolin,tt0101327,1991,32,73
61,American Splendor,tt0305206,2003,35,82
62,An American Werewolf in London,tt0082010,1981,31,86
63,An Education,tt1174732,2009,18,46
64,Analyze That,tt0289848,2002,47,130
65,Analyze This,tt0122933,1999,39,130
66,Anastasia,tt0118617,1997,31,98
67,Angel Eyes,tt0225071,2001,33,85
68,Angels & Demons,tt0808151,2009,25,55
69,Annie Hall,tt0075686,1977,52,183
70,The Anniversary Party,tt0254099,2001,28,188
71,Antitrust,tt0218817,2001,43,113
72,Antz,tt0120587,1998,37,140
73,The Apartment,tt0053604,1960,33,76
74,Apocalypse Now,tt0078788,1979,40,211
76,Apt Pupil,tt0118636,1998,21,56
80,Army of Darkness,tt0106308,1992,23,68
81,As Good as It Gets,tt0119822,1997,35,74
82,Assassins,tt0112401,1995,16,23
83,The Assignment,tt0118647,1997,51,142
84,At First Sight,tt0132512,1999,27,73
85,Austin Powers: International Man of Mystery,tt0118655,1997,40,103
86,Austin Powers: The Spy Who Shagged Me,tt0145660,1999,41,117
87,Autumn in New York,tt0174480,2000,33,96
88,Avatar,tt0499549,2009,30,105
89,The Avengers,tt0054518,1961,21,48
91,Awakenings,tt0099077,1990,52,261
92,Babel,tt0449467,2006,71,154
93,Bachelor Party,tt0086927,1984,62,284
97,Backdraft,tt0101393,1991,40,174
98,Bad Boys,tt0112442,1995,38,95
99,Bad Day at Black Rock,tt0047849,1955,15,50
100,The Bad Lieutenant: Port of Call - New Orleans,tt1095217,2009,39,84
101,Bad Santa,tt0307987,2003,27,64
102,Badlands,tt0069762,1973,18,28
103,Bamboozled,tt0215545,2000,56,198
104,Barry Lyndon,tt0072684,1975,47,95
106,Basic,tt0264395,2003,22,65
107,Basic Instinct,tt0103772,1992,25,84
108,Basquiat,tt0115632,1996,59,365
109,Batman,tt0096895,1989,49,127
110,Batman Returns,tt0103776,1992,51,124
111,The Battle of Algiers,tt0058946,1966,33,67
112,The Battle of Shaker Heights,tt0357470,2003,32,80
113,The Beach,tt0163978,2000,35,104
114,Bean,tt0118689,1997,32,84
115,Beavis and Butt-Head Do America,tt0115641,1996,56,150
116,Being Human,tt1349938,2008,59,154
117,Being John Malkovich,tt0120601,1999,34,83
118,Being There,tt0078841,1979,48,114
119,The Believer,tt0247199,2001,50,150
120,Beloved,tt0120603,1998,31,65
122,Big,tt0094737,1988,16,41
123,Bear in the Big Blue House,tt0173664,1997,28,82
124,Big Fish,tt0319061,2003,37,81
125,The Big Lebowski,tt0118715,1998,37,81
126,The Big White,tt0402850,2005,29,64
127,The Birds,tt0056869,1963,26,137
128,Birthday Girl,tt0188453,2001,16,24
129,The Black Dahlia,tt0387877,2006,61,144
130,Black Rain,tt0096933,1989,27,69
131,Black Snake Moan,tt0462200,2006,35,76
132,Blade,tt0120611,1998,24,54
133,Blade II,tt0187738,2002,33,126
134,Blade Runner,tt0083658,1982,25,44
135,Blade: Trinity,tt0359013,2004,42,115
136,Blast from the Past,tt0124298,1999,46,119
137,Blood Simple.,tt0086979,1984,12,21
138,Blow,tt0221027,2001,54,140
139,Blue Velvet,tt0090756,1986,30,64
141,"Bodies, Rest & Motion",tt0106447,1993,16,29
142,Body Heat,tt0082089,1981,20,42
143,Body of Evidence,tt0106453,1993,26,68
144,The Bodyguard,tt0103855,1992,40,120
145,Bones,tt0460627,2005,27,74
146,The Bonfire of the Vanities,tt0099165,1990,63,260
147,Bonnie and Clyde,tt0061418,1967,16,39
148,Boogie Nights,tt0118749,1997,55,175
149,The Book of Eli,tt1037705,2010,27,69
150,The Boondock Saints II: All Saints Day,tt1300851,2009,44,143
151,The Boondock Saints,tt0144117,1999,36,95
152,Bottle Rocket,tt0115734,1996,35,122
153,Bound,tt0115736,1996,15,31
154,The Bounty Hunter,tt1038919,2010,35,76
155,The Bourne Identity,tt0258463,2002,36,101
157,The Bourne Ultimatum,tt0440963,2007,46,102
158,Braveheart,tt0112573,1995,67,310
159,Brazil,tt0088846,1985,38,98
161,Breakdown,tt0118771,1997,20,45
162,The Breakfast Club,tt0088847,1985,9,22
163,Brick,tt0393109,2005,22,45
164,Bringing Out the Dead,tt0163988,1999,42,130
165,Broadcast News,tt0092699,1987,52,176
166,Broken Arrow,tt0115759,1996,59,195
167,Broken Embraces,tt0913425,2009,41,115
169,Bruce Almighty,tt0315327,2003,50,140
170,Buffy the Vampire Slayer,tt0118276,1997,41,203
171,Bull Durham,tt0094812,1988,35,159
173,Burlesque,tt1126591,2010,37,152
174,Burn After Reading,tt0887883,2008,35,75
175,The Butterfly Effect,tt0289879,2004,32,73
176,The Cable Guy,tt0115798,1996,37,105
177,Capote,tt0379725,2005,45,104
178,Casino,tt0112641,1995,109,326
179,Cast Away,tt0162222,2000,33,65
180,Catch Me If You Can,tt0264464,2002,82,162
182,The Cell,tt0209958,2000,24,59
183,Cellular,tt0337921,2004,48,138
184,Changeling,tt0824747,2008,59,145
185,Spin City,tt0115369,1996,31,92
186,Charade,tt0056923,1963,31,108
187,Charlie's Angels: Full Throttle,tt0305357,2003,28,80
189,Chasing Sleep,tt0221069,2000,17,40
190,Cherry Falls,tt0175526,2000,51,112
191,Chinatown,tt0071315,1974,50,125
192,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",tt0363771,2005,29,146
193,The Cider House Rules,tt0124315,1999,38,140
194,The Cincinnati Kid,tt0059037,1965,36,198
195,Cinema Paradiso,tt0095765,1988,40,100
197,Citizen Kane,tt0033467,1941,56,148
198,City of Joy,tt0103976,1992,44,143
199,Clash of the Titans,tt0800320,2010,27,86
200,Clerks.,tt0109445,1994,38,117
201,Cliffhanger,tt0106582,1993,23,78
204,Cobb,tt0109450,1994,41,109
205,Code of Silence,tt0088936,1985,41,105
206,Cold Mountain,tt0159365,2003,45,112
208,Collateral Damage,tt0233469,2002,42,97
209,Confessions of a Dangerous Mind,tt0270288,2002,69,135
210,Confidence,tt0310910,2003,25,81
211,Constantine,tt0360486,2005,24,44
212,The Cooler,tt0318374,2003,31,104
213,Copycat,tt0112722,1995,33,72
214,Coraline,tt0327597,2009,42,108
216,Cradle 2 the Grave,tt0306685,2003,36,117
