Id,Label
2524542,ANAIS
2526132,APTAIN
2528510,BANKER
2524152,BENEDICT
2524000,BIK
2524235,BOB
2525804,CAPTAIN
2524536,CARINE
2528189,CARPENTER
2529034,CHILDREN
2524265,COLONEL OLIVER
2525188,COMMENTATOR
2524220,CONNIE DENVER
2524039,COOK
2525570,DANIELLE
2523860,DRIVER
2528348,ENERAL BIZIMUNGU
2528864,EORGE
2524665,FEDENS
2529853,GENDARME
2524137,GENERAL BIZIMUNGU
2523825,GEORGE
2524916,GLORIA
2524351,GREGOIRE
2523706,HANDLER
2527533,HOOKER
2526332,INSIDE THE VAN
2525466,JEAN BAPTISTE
2524930,JOCK
2527707,LIEUTENANT
2529008,LITTLE BOY
2526983,MILITIAMAN #1
2528259,MONTAGE
2526515,MR GARINDI
2524484,ODETTE
2524597,OGER
2525717,OLD GUARD
2527303,OLIVER
2523709,PAUL
2527838,PRESIDENT
2524432,RADIO ANNOUNCER
2526449,REFUGEE
2529906,REPORTER
2527864,RESIDENT
2525956,ROBERT
2524574,ROGER
2526849,SABENA PRESIDENT
2527848,SECRETARY
2525790,SHOUTS
2526015,SOLDIER 1
2525794,SOLDIERS
2529901,STATE DEPT OFFICER
2524473,TATIANA
2524661,THOMAS
2526364,TOURIST
2526358,TOURISTS
2528171,TUTSI WOMAN
2529421,UN LIEUTENANT
2530029,UN SOLDIER
2524077,US AMBASSADOR
2526664,VALET
2530149,VARIOUS VOICES
2524118,WAITER
2525754,WOMEN
2526641,XAVIER
2523720,ZOZO
