Source,Target,Weight
5362225,5361760,1.0
5362225,5366411,1.0
5362225,5362139,3.0
5362225,5365102,1.0
5362225,5361717,2.0
5362225,5364002,1.0
5362225,5366390,1.0
5361760,5361772,1.0
5361317,5361323,1.0
5362693,5362744,1.0
5361280,5361317,1.0
5361280,5361243,1.0
5361280,5361323,1.0
5361243,5362225,1.0
5361243,5361760,2.0
5361243,5361317,1.0
5361243,5362744,1.0
5361243,5362693,1.0
5361243,5362965,1.0
5361243,5364037,1.0
5361243,5366411,2.0
5361243,5362798,1.0
5361243,5362139,12.0
5361243,5362613,3.0
5361243,5365102,1.0
5361243,5365611,2.0
5361243,5364048,4.0
5361243,5366864,1.0
5361243,5363027,1.0
5361243,5361463,6.0
5361243,5363589,1.0
5361243,5368240,1.0
5361243,5365197,1.0
5361243,5364954,1.0
5361243,5364819,2.0
5361243,5364507,1.0
5361243,5361323,1.0
5361243,5361387,3.0
5361243,5364554,2.0
5361243,5366390,3.0
5364037,5364062,1.0
5364037,5364048,2.0
5364173,5361243,1.0
5364289,5364062,1.0
5361772,5361243,5.0
5361772,5366411,1.0
5361772,5364349,1.0
5361772,5362139,1.0
5361772,5365102,1.0
5361772,5367424,1.0
5361772,5366390,1.0
5361362,5361243,3.0
5361362,5361400,1.0
5361362,5362613,1.0
5361362,5365611,1.0
5361362,5361491,1.0
5361362,5361463,1.0
5361362,5361424,2.0
5361362,5361387,1.0
5366411,5361760,1.0
5361400,5361760,1.0
5361400,5361243,3.0
5361400,5361772,1.0
5361400,5361387,1.0
5362798,5362613,1.0
5362798,5361491,1.0
5362798,5361463,1.0
5362798,5361424,1.0
5365310,5362139,1.0
5364349,5361243,6.0
5364349,5366411,1.0
5364349,5362139,2.0
5364349,5365102,1.0
5364349,5364048,1.0
5364349,5364507,1.0
5364349,5366390,1.0
5365954,5361243,1.0
5365954,5361424,1.0
5362139,5361760,1.0
5362139,5367525,1.0
5362139,5362965,1.0
5362139,5364037,2.0
5362139,5364289,1.0
5362139,5366411,2.0
5362139,5365102,2.0
5362139,5364062,2.0
5362139,5364277,1.0
5362139,5361717,2.0
5362139,5365197,1.0
5362139,5364023,1.0
5362139,5364002,2.0
5362139,5364554,1.0
5362139,5366390,2.0
5362613,5361491,1.0
5365102,5366411,1.0
5365102,5364048,1.0
5365102,5365197,1.0
5365102,5366390,1.0
5364062,5361243,1.0
5366904,5366927,1.0
5365611,5361424,1.0
5364048,5362139,4.0
5364048,5364062,1.0
5364048,5365197,1.0
5364048,5364554,1.0
5361491,5361243,4.0
5361491,5361400,1.0
5361491,5365611,1.0
5361491,5361463,2.0
5361491,5361424,4.0
5361463,5361400,2.0
5361463,5362613,1.0
5361463,5361424,4.0
5361463,5361387,2.0
5361424,5361243,8.0
5361424,5361400,2.0
5361424,5362613,3.0
5361424,5361387,2.0
5367424,5361760,1.0
5367424,5361243,2.0
5364277,5364289,1.0
5364277,5364062,1.0
5361717,5361760,1.0
5361717,5361243,3.0
5361717,5366411,1.0
5361717,5366390,1.0
5362190,5362225,2.0
5362190,5361243,1.0
5362190,5362139,1.0
5362190,5365102,1.0
5362190,5361717,1.0
5368217,5361243,1.0
5368217,5368240,1.0
5362034,5361717,1.0
5364819,5366927,1.0
5364819,5366904,1.0
5364819,5366864,1.0
5364023,5361243,1.0
5364023,5364037,1.0
5364023,5364062,1.0
5364023,5364048,1.0
5364507,5364048,1.0
5361387,5362798,1.0
5361387,5362613,1.0
5361387,5361491,2.0
5364002,5361760,1.0
5364002,5361243,1.0
5364002,5364037,1.0
5364002,5366411,1.0
5364002,5364062,1.0
5364002,5364048,1.0
5364002,5361717,1.0
5364002,5364023,1.0
5364002,5366390,1.0
5365639,5361243,2.0
5364554,5366390,1.0
5366390,5361760,1.0
5366390,5366411,3.0
5361261,5361317,1.0
5361261,5361280,1.0
5361261,5361243,1.0
5361261,5361323,1.0
